Name,ID,Department,Age,Check-In Time,Check-Out Time,Schedule Starting Hour,Schedule Ending Hour,Status,Date,Early Check-In,Late Check-In,Early Check-Out,Late Check-Out
Rodney Martin PhD,6415,Data,58,,,9:00:00,17:00:00,Absent,01/01/2023,,,,
Rodney Martin PhD,6415,Data,58,9:07:00,17:42:00,9:00:00,17:00:00,Present,02/01/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:06:00,16:35:00,9:00:00,17:00:00,Present,03/01/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:19:00,16:24:00,9:00:00,17:00:00,Present,04/01/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,,,9:00:00,17:00:00,Absent,05/01/2023,,,,
Rodney Martin PhD,6415,Data,58,9:57:00,17:16:00,9:00:00,17:00:00,Present,06/01/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,,,9:00:00,17:00:00,Absent,07/01/2023,,,,
Rodney Martin PhD,6415,Data,58,,,9:00:00,17:00:00,Absent,08/01/2023,,,,
Rodney Martin PhD,6415,Data,58,,,9:00:00,17:00:00,Absent,09/01/2023,,,,
Rodney Martin PhD,6415,Data,58,8:11:00,16:43:00,9:00:00,17:00:00,Present,10/01/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,,,9:00:00,17:00:00,Absent,11/01/2023,,,,
Rodney Martin PhD,6415,Data,58,9:44:00,16:59:00,9:00:00,17:00:00,Present,12/01/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:41:00,17:18:00,9:00:00,17:00:00,Present,13/01/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:23:00,16:27:00,9:00:00,17:00:00,Present,14/01/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,,,9:00:00,17:00:00,Absent,15/01/2023,,,,
Rodney Martin PhD,6415,Data,58,,,9:00:00,17:00:00,Absent,16/01/2023,,,,
Rodney Martin PhD,6415,Data,58,8:03:00,16:12:00,9:00:00,17:00:00,Present,17/01/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,,,9:00:00,17:00:00,Absent,18/01/2023,,,,
Rodney Martin PhD,6415,Data,58,,,9:00:00,17:00:00,Absent,19/01/2023,,,,
Rodney Martin PhD,6415,Data,58,8:57:00,17:19:00,9:00:00,17:00:00,Present,20/01/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:50:00,17:56:00,9:00:00,17:00:00,Present,21/01/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:00:00,17:03:00,9:00:00,17:00:00,Present,22/01/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,,,9:00:00,17:00:00,Absent,23/01/2023,,,,
Rodney Martin PhD,6415,Data,58,,,9:00:00,17:00:00,Absent,24/01/2023,,,,
Rodney Martin PhD,6415,Data,58,,,9:00:00,17:00:00,Absent,25/01/2023,,,,
Rodney Martin PhD,6415,Data,58,,,9:00:00,17:00:00,Absent,26/01/2023,,,,
Rodney Martin PhD,6415,Data,58,8:20:00,16:33:00,9:00:00,17:00:00,Present,27/01/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:20:00,16:33:00,9:00:00,17:00:00,Present,28/01/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:20:00,16:33:00,9:00:00,17:00:00,Present,29/01/2023,TRUE,FALSE,TRUE,FALSE
