Name,ID,Department,Age,Nationality,Check-In Time,Check-Out Time,Schedule Starting Hour,Schedule Ending Hour,Status,Date,Early Check-In,Late Check-In,Early Check-Out,Late Check-Out,targeted_productivity,smv,wip,over_time,incentive,idle_time,actual_productivity
Rodney Martin PhD,6415,Data,58,UK,,,9:00:00,17:00:00,Absent,01/01/2023,,,,,0.7713143409713007,10.758771227395933,4,37,174,0,0.675292831003803
Rodney Martin PhD,6415,Data,58,UK,9:07:00,17:42:00,9:00:00,17:00:00,Present,02/01/2023,False,True,False,True,0.8549298944103663,11.891594499025613,0,1,162,1,0.7240201969552665
Rodney Martin PhD,6415,Data,58,UK,9:06:00,16:35:00,9:00:00,17:00:00,Present,03/01/2023,False,True,True,False,0.8906682351721026,11.651613543349171,0,13,155,7,0.68094217190267
Rodney Martin PhD,6415,Data,58,UK,8:19:00,16:24:00,9:00:00,17:00:00,Present,04/01/2023,True,False,True,False,0.7259359165982582,10.846724703747714,8,34,31,19,0.7200101134271246
Rodney Martin PhD,6415,Data,58,UK,,,9:00:00,17:00:00,Absent,05/01/2023,,,,,0.8599316798960134,8.85809291654121,1,54,161,13,0.7823354105458548
Rodney Martin PhD,6415,Data,58,UK,9:57:00,17:16:00,9:00:00,17:00:00,Present,06/01/2023,False,True,False,True,0.8757642132264734,9.358114610528476,3,13,101,25,0.7316872733028499
Rodney Martin PhD,6415,Data,58,UK,,,9:00:00,17:00:00,Absent,07/01/2023,,,,,0.7636426120559529,10.626143784884949,2,6,13,15,0.7793992536840547
Rodney Martin PhD,6415,Data,58,UK,,,9:00:00,17:00:00,Absent,08/01/2023,,,,,0.7494179276250753,8.844612276835463,6,3,71,12,0.6092424284433529
Rodney Martin PhD,6415,Data,58,UK,,,9:00:00,17:00:00,Absent,09/01/2023,,,,,0.7251249753361791,8.779685397466633,4,46,73,24,0.6704142368959632
Rodney Martin PhD,6415,Data,58,UK,8:11:00,16:43:00,9:00:00,17:00:00,Present,10/01/2023,True,False,True,False,0.7900128314794422,8.905237872109653,2,44,16,22,0.6509475931646177
Rodney Martin PhD,6415,Data,58,UK,,,9:00:00,17:00:00,Absent,11/01/2023,,,,,0.8303073407794963,8.937310508224991,6,57,150,28,0.6636319891307112
Rodney Martin PhD,6415,Data,58,UK,9:44:00,16:59:00,9:00:00,17:00:00,Present,12/01/2023,False,True,True,False,0.8304050146907499,9.850618250740986,4,45,12,10,0.6604998639469318
Rodney Martin PhD,6415,Data,58,UK,8:41:00,17:18:00,9:00:00,17:00:00,Present,13/01/2023,True,False,False,True,0.7070310406828312,11.698469076623736,3,52,131,3,0.7932460515664703
Rodney Martin PhD,6415,Data,58,UK,9:23:00,16:27:00,9:00:00,17:00:00,Present,14/01/2023,False,True,True,False,0.8292849961251388,9.302057142662939,7,34,61,16,0.6466791727219308
Rodney Martin PhD,6415,Data,58,UK,,,9:00:00,17:00:00,Absent,15/01/2023,,,,,0.7672939025249742,11.710137684983737,5,59,41,16,0.6326594356118576
Rodney Martin PhD,6415,Data,58,UK,,,9:00:00,17:00:00,Absent,16/01/2023,,,,,0.8827500722806783,11.119354403089837,0,22,74,2,0.7455888144728885
Rodney Martin PhD,6415,Data,58,UK,8:03:00,16:12:00,9:00:00,17:00:00,Present,17/01/2023,True,False,True,False,0.833935758546471,10.10264186592038,8,55,151,23,0.6608442610832715
Rodney Martin PhD,6415,Data,58,UK,,,9:00:00,17:00:00,Absent,18/01/2023,,,,,0.7451047094754708,10.387310458876033,8,42,190,10,0.7228404621783378
Rodney Martin PhD,6415,Data,58,UK,,,9:00:00,17:00:00,Absent,19/01/2023,,,,,0.8886774982453888,11.977143444915935,0,53,49,25,0.6787026300844767
Rodney Martin PhD,6415,Data,58,UK,8:57:00,17:19:00,9:00:00,17:00:00,Present,20/01/2023,True,False,False,True,0.7887833621188272,8.21724342040668,1,55,86,17,0.7846282273647927
